Company Name,Laptop Name,RAM (GB),Storage Type,Storage Size (GB),Processor Company,Processor Details,Graphics Card (GB),GPU Details,Weight (kg),Screen Size (inches),OS,Laptop Type,Price (INR),,,,,,,,,,,,,
Dell,New Inspiron 14 5490,8,SSD,512,Intel,10th Gen i5,Integrated,Intel UHD Graphics,1.64,14,Windows,Notebook,62990,,,,,,,,,,,,,
Dell,New Inspiron 15 5590,8,SSD,512,Intel,10th Gen i5,Integrated,Intel UHD Graphics,1.64,15.6,Windows,Notebook,63990,,,,,,,,,,,,,
Dell,New Inspiron 14 5490,8,SSD,512,Intel,10th Gen i5,2,NVIDIA GeForce MX250,1.64,14,Windows,Notebook,67990,,,,,,,,,,,,,
Dell,New Inspiron 15 5590,8,SSD,512,Intel,10th Gen i5,2,NVIDIA GeForce MX250,1.64,15.6,Windows,Notebook,68990,,,,,,,,,,,,,
Dell,New Inspiron 15 7501,8,SSD,512,Intel,10th Gen i5,4,NVIDIA GeForce GTX 1650,1.64,15.6,Windows,Notebook,91990,,,,,,,,,,,,,
Dell,New Inspiron 15 7501,8,SSD,512,Intel,10th Gen i7,4,NVIDIA GeForce GTX 1650,1.64,15.6,Windows,Notebook,115990,,,,,,,,,,,,,
Dell,New Inspiron 15 7501,16,SSD,1024,Intel,10th Gen i7,4,NVIDIA GeForce GTX 1650,1.64,15.6,Windows,Notebook,129990,,,,,,,,,,,,,
Dell,New Vostro 15 3590,4,HDD,1024,Intel,10th Gen i3,Integrated,Intel UHD Graphics,2.17,15.6,Windows,Notebook,35990,,,,,,,,,,,,,
Dell,New Vostro 15 3590,4,SSD,256,Intel,10th Gen i3,Integrated,Intel UHD Graphics,2.17,15.6,Windows,Notebook,38490,,,,,,,,,,,,,
Dell,New Vostro 15 3590,4,SSD+HDD,256+1024,Intel,10th Gen i3,Integrated,Intel UHD Graphics,2.17,15.6,Windows,Notebook,39990,,,,,,,,,,,,,
Dell,New Vostro 15 3590,8,HDD,1024,Intel,10th Gen i5,Integrated,Intel UHD Graphics,2.17,15.6,Windows,Notebook,49990,,,,,,,,,,,,,
Dell,New Vostro 15 3590,8,SSD+HDD,256+1024,Intel,10th Gen i5,2,AMD Radeon 610,2.17,15.6,Windows,Notebook,59490,,,,,,,,,,,,,
Dell,G3 3579,16,SSD+HDD,256+1024,Intel,8th Gen i7,4,NVIDIA GeForce GTX 1050,2.5,15.6,Windows,Notebook,66990,,,,,,,,,,,,,
